	gene_short_name
YBR176W	YBR176W
YBR177C	YBR177C
YBR179C	YBR179C
YBR181C	YBR181C
YBR183W	YBR183W
YBR187W	YBR187W
YBR189W	YBR189W
YBR191W	YBR191W
YBR191W-A	YBR191W-A
YBR192W	YBR192W
YBR193C	YBR193C
YBR196C	YBR196C
YBR198C	YBR198C
YBR199W	YBR199W
YBR200W	YBR200W
YBR204C	YBR204C
YBR205W	YBR205W
YBR206W	YBR206W
YBR207W	YBR207W
YBR208C	YBR208C
YBR210W	YBR210W
YBR212W	YBR212W
YBR214W	YBR214W
YBR215W	YBR215W
YBR216C	YBR216C
YBR218C	YBR218C
YBR220C	YBR220C
YBR221C	YBR221C
YBR222C	YBR222C
YBR229C	YBR229C
YBR230C	YBR230C
YBR233W	YBR233W
YBR234C	YBR234C
YBR235W	YBR235W
YBR236C	YBR236C
YBR237W	YBR237W
YBR241C	YBR241C
YBR242W	YBR242W
YBR243C	YBR243C
YBR244W	YBR244W
YBR245C	YBR245C
YBR246W	YBR246W
YBR247C	YBR247C
YBR248C	YBR248C
YBR249C	YBR249C
YBR251W	YBR251W
YBR252W	YBR252W
YBR253W	YBR253W
YBR254C	YBR254C
YBR255C-A	YBR255C-A
YBR255W	YBR255W
YBR256C	YBR256C
YBR257W	YBR257W
YBR260C	YBR260C
YBR261C	YBR261C
YBR262C	YBR262C
YBR263W	YBR263W
YBR264C	YBR264C
YBR265W	YBR265W
YBR268W	YBR268W
YBR269C	YBR269C
YBR272C	YBR272C
YBR273C	YBR273C
YBR275C	YBR275C
YBR276C	YBR276C
YBR279W	YBR279W
YBR281C	YBR281C
YBR282W	YBR282W
YBR283C	YBR283C
YBR286W	YBR286W
YBR287W	YBR287W
YBR288C	YBR288C
YBR290W	YBR290W
YBR302C	YBR302C
YCL001W	YCL001W
YCL004W	YCL004W
YCL005W	YCL005W
YCL005W-A	YCL005W-A
YCL008C	YCL008C
YCL009C	YCL009C
YCL010C	YCL010C
YCL011C	YCL011C
YCL014W	YCL014W
YCL017C	YCL017C
YCL019W	YCL019W
YCL025C	YCL025C
YCL028W	YCL028W
YCL030C	YCL030C
YCL031C	YCL031C
YCL032W	YCL032W
YCL033C	YCL033C
YCL034W	YCL034W
YCL035C	YCL035C
YCL037C	YCL037C
YCL039W	YCL039W
YCL040W	YCL040W
YCL043C	YCL043C
YCL044C	YCL044C
YCL045C	YCL045C
YCL047C	YCL047C
YCL050C	YCL050C
YCL052C	YCL052C
YCL056C	YCL056C
YCL057C-A	YCL057C-A
YCL057W	YCL057W
