	gene_short_name
YFR003C	YFR003C
YFR004W	YFR004W
YFR005C	YFR005C
YFR006W	YFR006W
YFR009W	YFR009W
YFR010W	YFR010W
YFR011C	YFR011C
YFR013W	YFR013W
YFR014C	YFR014C
YFR015C	YFR015C
YFR016C	YFR016C
YFR017C	YFR017C
YFR018C	YFR018C
YFR019W	YFR019W
YFR021W	YFR021W
YFR024C-A	YFR024C-A
YFR025C	YFR025C
YFR028C	YFR028C
YFR029W	YFR029W
YFR030W	YFR030W
YFR031C	YFR031C
YFR031C-A	YFR031C-A
YFR032C-A	YFR032C-A
YFR032C-B	YFR032C-B
YFR033C	YFR033C
YFR034C	YFR034C
YFR035C	YFR035C
YFR036W-A	YFR036W-A
YFR037C	YFR037C
YFR038W	YFR038W
YFR039C	YFR039C
YFR040W	YFR040W
YFR041C	YFR041C
YFR042W	YFR042W
YFR043C	YFR043C
YFR044C	YFR044C
YFR047C	YFR047C
YFR049W	YFR049W
YFR050C	YFR050C
YFR051C	YFR051C
YFR052C-A	YFR052C-A
YFR052W	YFR052W
YFR053C	YFR053C
YGL001C	YGL001C
YGL002W	YGL002W
YGL005C	YGL005C
YGL006W	YGL006W
YGL006W-A	YGL006W-A
YGL008C	YGL008C
YGL009C	YGL009C
YGL010W	YGL010W
YGL011C	YGL011C
YGL012W	YGL012W
YGL013C	YGL013C
YGL014W	YGL014W
YGL016W	YGL016W
YGL017W	YGL017W
YGL019W	YGL019W
YGL020C	YGL020C
YGL021W	YGL021W
YGL022W	YGL022W
YGL023C	YGL023C
YGL025C	YGL025C
YGL026C	YGL026C
YGL027C	YGL027C
YGL028C	YGL028C
YGL030W	YGL030W
YGL031C	YGL031C
YGL035C	YGL035C
YGL036W	YGL036W
YGL037C	YGL037C
YGL038C	YGL038C
YGL039W	YGL039W
YGL040C	YGL040C
YGL041W-A	YGL041W-A
YGL042C	YGL042C
YGL043W	YGL043W
YGL048C	YGL048C
YGL049C	YGL049C
YGL050W	YGL050W
YGL052W	YGL052W
YGL053W	YGL053W
YGL054C	YGL054C
YGL055W	YGL055W
YGL056C	YGL056C
YGL058W	YGL058W
YGL059W	YGL059W
YGL062W	YGL062W
YGL065C	YGL065C
YGL066W	YGL066W
YGL067W	YGL067W
YGL068W	YGL068W
YGL070C	YGL070C
YGL071W	YGL071W
YGL073W	YGL073W
YGL076C	YGL076C
YGL077C	YGL077C
YGL078C	YGL078C
YGL080W	YGL080W
YGL082W	YGL082W
YGL083W	YGL083W
YGL084C	YGL084C
YGL086W	YGL086W
YGL087C	YGL087C
YGL091C	YGL091C
YGL092W	YGL092W
YGL093W	YGL093W
YGL094C	YGL094C
YGL095C	YGL095C
YGL097W	YGL097W
YGL099W	YGL099W
YGL100W	YGL100W
YGL102C	YGL102C
YGL103W	YGL103W
YGL104C	YGL104C
YGL105W	YGL105W
YGL106W	YGL106W
YGL107C	YGL107C
YGL110C	YGL110C
YGL111W	YGL111W
YGL112C	YGL112C
YGL114W	YGL114W
YGL115W	YGL115W
YGL119W	YGL119W
YGL120C	YGL120C
YGL122C	YGL122C
YGL123W	YGL123W
YGL125W	YGL125W
YGL126W	YGL126W
YGL127C	YGL127C
YGL128C	YGL128C
YGL129C	YGL129C
YGL130W	YGL130W
YGL133W	YGL133W
YGL135W	YGL135W
YGL136C	YGL136C
YGL137W	YGL137W
YGL140C	YGL140C
YGL141W	YGL141W
YGL142C	YGL142C
YGL145W	YGL145W
YGL147C	YGL147C
YGL148W	YGL148W
YGL150C	YGL150C
YGL151W	YGL151W
YGL153W	YGL153W
YGL154C	YGL154C
YGL155W	YGL155W
YGL157W	YGL157W
YGL160W	YGL160W
YGL161C	YGL161C
YGL164C	YGL164C
YGL165C	YGL165C
YGL166W	YGL166W
YGL167C	YGL167C
YGL168W	YGL168W
YGL172W	YGL172W
YGL173C	YGL173C
YGL174W	YGL174W
YGL178W	YGL178W
YGL181W	YGL181W
YGL186C	YGL186C
YGL187C	YGL187C
YGL188C	YGL188C
YGL189C	YGL189C
YGL190C	YGL190C
YGL191W	YGL191W
YGL195W	YGL195W
YGL196W	YGL196W
YGL197W	YGL197W
YGL198W	YGL198W
YGL200C	YGL200C
YGL201C	YGL201C
YGL202W	YGL202W
YGL203C	YGL203C
YGL206C	YGL206C
YGL207W	YGL207W
YGL209W	YGL209W
YGL210W	YGL210W
YGL213C	YGL213C
YGL215W	YGL215W
YGL216W	YGL216W
YGL219C	YGL219C
YGL220W	YGL220W
YGL221C	YGL221C
YGL224C	YGL224C
YGL225W	YGL225W
YGL226C-A	YGL226C-A
YGL226W	YGL226W
YGL227W	YGL227W
YGL228W	YGL228W
YGL229C	YGL229C
YGL231C	YGL231C
YGL232W	YGL232W
YGL233W	YGL233W
YGL234W	YGL234W
YGL237C	YGL237C
YGL238W	YGL238W
YGL241W	YGL241W
YGL242C	YGL242C
YGL243W	YGL243W
YGL244W	YGL244W
YGL245W	YGL245W
YGL246C	YGL246C
YGL247W	YGL247W
YGL248W	YGL248W
YGL252C	YGL252C
YGL253W	YGL253W
YGL256W	YGL256W
YGL257C	YGL257C
YGR001C	YGR001C
YGR002C	YGR002C
YGR005C	YGR005C
YGR007W	YGR007W
YGR008C	YGR008C
YGR009C	YGR009C
YGR010W	YGR010W
YGR011W	YGR011W
YGR014W	YGR014W
YGR017W	YGR017W
YGR019W	YGR019W
YGR020C	YGR020C
YGR024C	YGR024C
YGR026W	YGR026W
YGR027C	YGR027C
YGR027W-B	YGR027W-B
YGR028W	YGR028W
YGR029W	YGR029W
YGR032W	YGR032W
YGR033C	YGR033C
YGR034W	YGR034W
YGR037C	YGR037C
YGR038C-B	YGR038C-B
YGR038W	YGR038W
YGR041W	YGR041W
YGR042W	YGR042W
YGR043C	YGR043C
YGR044C	YGR044C
YGR047C	YGR047C
YGR048W	YGR048W
YGR049W	YGR049W
YGR052W	YGR052W
YGR054W	YGR054W
YGR055W	YGR055W
YGR056W	YGR056W
YGR060W	YGR060W
YGR061C	YGR061C
YGR063C	YGR063C
YGR069W	YGR069W
YGR072W	YGR072W
YGR074W	YGR074W
YGR075C	YGR075C
YGR076C	YGR076C
YGR077C	YGR077C
YGR078C	YGR078C
YGR080W	YGR080W
YGR081C	YGR081C
YGR082W	YGR082W
YGR083C	YGR083C
YGR084C	YGR084C
YGR085C	YGR085C
YGR086C	YGR086C
YGR088W	YGR088W
YGR089W	YGR089W
YGR090W	YGR090W
YGR092W	YGR092W
YGR093W	YGR093W
YGR094W	YGR094W
YGR095C	YGR095C
YGR097W	YGR097W
YGR098C	YGR098C
YGR100W	YGR100W
YGR102C	YGR102C
YGR103W	YGR103W
YGR105W	YGR105W
YGR106C	YGR106C
YGR108W	YGR108W
YGR109W-B	YGR109W-B
YGR111W	YGR111W
YGR113W	YGR113W
YGR116W	YGR116W
YGR117C	YGR117C
YGR118W	YGR118W
YGR119C	YGR119C
YGR120C	YGR120C
YGR121C	YGR121C
YGR122W	YGR122W
YGR123C	YGR123C
YGR124W	YGR124W
YGR125W	YGR125W
YGR127W	YGR127W
YGR128C	YGR128C
YGR130C	YGR130C
YGR132C	YGR132C
YGR133W	YGR133W
YGR135W	YGR135W
YGR136W	YGR136W
YGR137W	YGR137W
YGR141W	YGR141W
YGR142W	YGR142W
YGR143W	YGR143W
YGR145W	YGR145W
YGR146C	YGR146C
YGR147C	YGR147C
YGR148C	YGR148C
YGR149W	YGR149W
YGR150C	YGR150C
YGR155W	YGR155W
YGR156W	YGR156W
YGR157W	YGR157W
YGR159C	YGR159C
YGR161C-D	YGR161C-D
YGR161W-B	YGR161W-B
YGR162W	YGR162W
YGR163W	YGR163W
YGR166W	YGR166W
YGR167W	YGR167W
YGR168C	YGR168C
YGR169C-A	YGR169C-A
YGR170W	YGR170W
YGR172C	YGR172C
YGR173W	YGR173W
YGR174C	YGR174C
YGR175C	YGR175C
YGR178C	YGR178C
YGR180C	YGR180C
YGR181W	YGR181W
YGR182C	YGR182C
YGR183C	YGR183C
YGR184C	YGR184C
YGR185C	YGR185C
YGR186W	YGR186W
YGR187C	YGR187C
YGR189C	YGR189C
YGR190C	YGR190C
YGR191W	YGR191W
YGR192C	YGR192C
YGR193C	YGR193C
YGR194C	YGR194C
YGR195W	YGR195W
YGR196C	YGR196C
YGR198W	YGR198W
YGR199W	YGR199W
YGR200C	YGR200C
YGR201C	YGR201C
YGR202C	YGR202C
YGR203W	YGR203W
YGR204W	YGR204W
YGR206W	YGR206W
YGR207C	YGR207C
YGR208W	YGR208W
YGR209C	YGR209C
YGR210C	YGR210C
YGR211W	YGR211W
YGR214W	YGR214W
YGR215W	YGR215W
YGR218W	YGR218W
YGR220C	YGR220C
YGR222W	YGR222W
YGR223C	YGR223C
YGR227W	YGR227W
YGR229C	YGR229C
YGR231C	YGR231C
YGR232W	YGR232W
YGR233C	YGR233C
YGR234W	YGR234W
YGR235C	YGR235C
YGR237C	YGR237C
YGR239C	YGR239C
YGR240C	YGR240C
YGR241C	YGR241C
YGR243W	YGR243W
YGR244C	YGR244C
YGR245C	YGR245C
YGR246C	YGR246C
YGR248W	YGR248W
YGR250C	YGR250C
YGR252W	YGR252W
YGR253C	YGR253C
YGR254W	YGR254W
YGR255C	YGR255C
YGR256W	YGR256W
YGR257C	YGR257C
YGR258C	YGR258C
YGR260W	YGR260W
YGR261C	YGR261C
YGR262C	YGR262C
YGR264C	YGR264C
YGR266W	YGR266W
YGR267C	YGR267C
YGR268C	YGR268C
YGR270W	YGR270W
YGR274C	YGR274C
YGR275W	YGR275W
YGR277C	YGR277C
YGR279C	YGR279C
YGR280C	YGR280C
YGR281W	YGR281W
YGR282C	YGR282C
YGR284C	YGR284C
YGR285C	YGR285C
YGR295C	YGR295C
YHL001W	YHL001W
YHL002W	YHL002W
YHL003C	YHL003C
YHL004W	YHL004W
YHL007C	YHL007C
YHL008C	YHL008C
YHL009C	YHL009C
YHL011C	YHL011C
YHL013C	YHL013C
YHL015W	YHL015W
YHL017W	YHL017W
YHL020C	YHL020C
YHL021C	YHL021C
YHL023C	YHL023C
YHL025W	YHL025W
YHL027W	YHL027W
YHL030W	YHL030W
YHL031C	YHL031C
YHL032C	YHL032C
YHL033C	YHL033C
YHL034C	YHL034C
YHL034W-A	YHL034W-A
YHL035C	YHL035C
YHL036W	YHL036W
YHL039W	YHL039W
YHL040C	YHL040C
YHL047C	YHL047C
YHL048W	YHL048W
YHR001W	YHR001W
YHR001W-A	YHR001W-A
YHR003C	YHR003C
YHR004C	YHR004C
YHR005C	YHR005C
YHR005C-A	YHR005C-A
YHR006W	YHR006W
YHR007C	YHR007C
YHR007C-A	YHR007C-A
YHR008C	YHR008C
YHR009C	YHR009C
YHR010W	YHR010W
YHR012W	YHR012W
YHR013C	YHR013C
YHR016C	YHR016C
YHR017W	YHR017W
YHR018C	YHR018C
YHR019C	YHR019C
YHR020W	YHR020W
YHR021C	YHR021C
YHR023W	YHR023W
YHR024C	YHR024C
YHR025W	YHR025W
YHR026W	YHR026W
YHR027C	YHR027C
YHR028C	YHR028C
YHR029C	YHR029C
YHR030C	YHR030C
YHR032W	YHR032W
YHR032W-A	YHR032W-A
YHR033W	YHR033W
YHR034C	YHR034C
YHR037W	YHR037W
YHR039C	YHR039C
YHR039C-A	YHR039C-A
YHR041C	YHR041C
YHR042W	YHR042W
YHR043C	YHR043C
YHR045W	YHR045W
YHR046C	YHR046C
YHR047C	YHR047C
YHR049W	YHR049W
YHR050W	YHR050W
YHR050W-A	YHR050W-A
YHR051W	YHR051W
YHR052W	YHR052W
YHR056C	YHR056C
YHR057C	YHR057C
YHR059W	YHR059W
YHR060W	YHR060W
YHR063C	YHR063C
YHR063W-A	YHR063W-A
YHR064C	YHR064C
YHR065C	YHR065C
YHR066W	YHR066W
YHR068W	YHR068W
YHR069C	YHR069C
YHR070W	YHR070W
YHR071W	YHR071W
YHR072W	YHR072W
YHR072W-A	YHR072W-A
YHR073W	YHR073W
YHR074W	YHR074W
YHR075C	YHR075C
YHR076W	YHR076W
YHR077C	YHR077C
YHR078W	YHR078W
YHR080C	YHR080C
YHR081W	YHR081W
YHR082C	YHR082C
YHR083W	YHR083W
YHR084W	YHR084W
YHR086W	YHR086W
YHR087W	YHR087W
YHR089C	YHR089C
YHR090C	YHR090C
YHR094C	YHR094C
YHR095W	YHR095W
YHR096C	YHR096C
YHR097C	YHR097C
YHR098C	YHR098C
YHR099W	YHR099W
YHR100C	YHR100C
YHR102W	YHR102W
YHR103W	YHR103W
YHR104W	YHR104W
YHR106W	YHR106W
YHR107C	YHR107C
YHR108W	YHR108W
YHR110W	YHR110W
YHR111W	YHR111W
YHR112C	YHR112C
YHR113W	YHR113W
YHR114W	YHR114W
YHR115C	YHR115C
YHR117W	YHR117W
YHR119W	YHR119W
YHR121W	YHR121W
YHR122W	YHR122W
YHR123W	YHR123W
YHR127W	YHR127W
YHR128W	YHR128W
YHR132C	YHR132C
YHR132W-A	YHR132W-A
YHR133C	YHR133C
YHR135C	YHR135C
YHR136C	YHR136C
YHR137W	YHR137W
YHR138C	YHR138C
YHR139C	YHR139C
YHR141C	YHR141C
YHR142W	YHR142W
YHR143W	YHR143W
YHR143W-A	YHR143W-A
YHR146W	YHR146W
YHR147C	YHR147C
YHR152W	YHR152W
YHR155W	YHR155W
YHR158C	YHR158C
YHR161C	YHR161C
YHR162W	YHR162W
YHR163W	YHR163W
YHR164C	YHR164C
YHR165C	YHR165C
YHR170W	YHR170W
YHR174W	YHR174W
YHR175W	YHR175W
YHR175W-A	YHR175W-A
YHR179W	YHR179W
YHR181W	YHR181W
YHR183W	YHR183W
YHR186C	YHR186C
YHR187W	YHR187W
YHR188C	YHR188C
YHR189W	YHR189W
YHR190W	YHR190W
YHR191C	YHR191C
YHR192W	YHR192W
YHR193C	YHR193C
YHR195W	YHR195W
YHR196W	YHR196W
YHR198C	YHR198C
YHR199C	YHR199C
YHR200W	YHR200W
YHR201C	YHR201C
YHR203C	YHR203C
YHR204W	YHR204W
YHR205W	YHR205W
YHR208W	YHR208W
YHR214C-B	YHR214C-B
YHR215W	YHR215W
YIL002C	YIL002C
YIL002W-A	YIL002W-A
YIL004C	YIL004C
YIL005W	YIL005W
YIL007C	YIL007C
YIL008W	YIL008W
YIL009C-A	YIL009C-A
YIL009W	YIL009W
YIL010W	YIL010W
YIL014W	YIL014W
YIL015W	YIL015W
YIL016W	YIL016W
YIL017C	YIL017C
YIL018W	YIL018W
YIL020C	YIL020C
YIL021W	YIL021W
YIL022W	YIL022W
YIL023C	YIL023C
YIL027C	YIL027C
YIL030C	YIL030C
YIL031W	YIL031W
YIL033C	YIL033C
YIL034C	YIL034C
YIL035C	YIL035C
YIL036W	YIL036W
YIL038C	YIL038C
YIL039W	YIL039W
YIL040W	YIL040W
YIL041W	YIL041W
YIL043C	YIL043C
YIL044C	YIL044C
YIL045W	YIL045W
YIL046W	YIL046W
YIL047C	YIL047C
YIL048W	YIL048W
YIL050W	YIL050W
YIL051C	YIL051C
YIL052C	YIL052C
YIL053W	YIL053W
YIL055C	YIL055C
YIL056W	YIL056W
YIL062C	YIL062C
YIL063C	YIL063C
YIL064W	YIL064W
YIL065C	YIL065C
YIL068C	YIL068C
YIL069C	YIL069C
YIL074C	YIL074C
YIL075C	YIL075C
YIL076W	YIL076W
YIL077C	YIL077C
YIL078W	YIL078W
YIL082W-A	YIL082W-A
YIL083C	YIL083C
YIL085C	YIL085C
YIL087C	YIL087C
YIL088C	YIL088C
YIL090W	YIL090W
YIL091C	YIL091C
YIL094C	YIL094C
YIL095W	YIL095W
YIL098C	YIL098C
YIL101C	YIL101C
YIL105C	YIL105C
YIL106W	YIL106W
YIL107C	YIL107C
YIL108W	YIL108W
YIL109C	YIL109C
YIL111W	YIL111W
YIL112W	YIL112W
YIL113W	YIL113W
YIL114C	YIL114C
YIL115C	YIL115C
YIL116W	YIL116W
YIL117C	YIL117C
YIL118W	YIL118W
YIL119C	YIL119C
YIL121W	YIL121W
YIL123W	YIL123W
YIL124W	YIL124W
YIL125W	YIL125W
YIL126W	YIL126W
YIL127C	YIL127C
YIL128W	YIL128W
YIL129C	YIL129C
YIL130W	YIL130W
YIL133C	YIL133C
YIL135C	YIL135C
YIL136W	YIL136W
YIL137C	YIL137C
YIL138C	YIL138C
YIL139C	YIL139C
YIL142W	YIL142W
YIL143C	YIL143C
YIL144W	YIL144W
YIL145C	YIL145C
YIL147C	YIL147C
YIL148W	YIL148W
YIL149C	YIL149C
YIL151C	YIL151C
YIL152W	YIL152W
YIL153W	YIL153W
YIL154C	YIL154C
YIL155C	YIL155C
YIL156W	YIL156W
YIL156W-B	YIL156W-B
YIL157C	YIL157C
YIL158W	YIL158W
YIL161W	YIL161W
YIL162W	YIL162W
YIR001C	YIR001C
YIR002C	YIR002C
YIR003W	YIR003W
YIR004W	YIR004W
YIR006C	YIR006C
YIR007W	YIR007W
YIR010W	YIR010W
YIR011C	YIR011C
YIR012W	YIR012W
YIR014W	YIR014W
YIR016W	YIR016W
YIR018C-A	YIR018C-A
YIR022W	YIR022W
YIR026C	YIR026C
YIR033W	YIR033W
YIR034C	YIR034C
YIR035C	YIR035C
YIR036C	YIR036C
YIR037W	YIR037W
YIR038C	YIR038C
YJL001W	YJL001W
YJL002C	YJL002C
YJL004C	YJL004C
YJL005W	YJL005W
YJL008C	YJL008C
YJL009W	YJL009W
YJL010C	YJL010C
YJL012C	YJL012C
YJL014W	YJL014W
YJL016W	YJL016W
YJL020C	YJL020C
YJL024C	YJL024C
YJL026W	YJL026W
YJL029C	YJL029C
YJL030W	YJL030W
YJL031C	YJL031C
YJL034W	YJL034W
YJL036W	YJL036W
YJL039C	YJL039C
YJL041W	YJL041W
YJL042W	YJL042W
YJL044C	YJL044C
YJL049W	YJL049W
YJL050W	YJL050W
YJL052W	YJL052W
YJL053W	YJL053W
YJL054W	YJL054W
YJL055W	YJL055W
YJL057C	YJL057C
YJL060W	YJL060W
YJL061W	YJL061W
YJL062W	YJL062W
YJL062W-A	YJL062W-A
YJL063C	YJL063C
YJL065C	YJL065C
YJL066C	YJL066C
YJL067W	YJL067W
YJL068C	YJL068C
YJL069C	YJL069C
YJL070C	YJL070C
YJL073W	YJL073W
YJL076W	YJL076W
YJL077C	YJL077C
YJL078C	YJL078C
YJL079C	YJL079C
YJL080C	YJL080C
YJL081C	YJL081C
YJL082W	YJL082W
YJL083W	YJL083W
YJL084C	YJL084C
YJL092W	YJL092W
YJL093C	YJL093C
YJL094C	YJL094C
YJL095W	YJL095W
YJL096W	YJL096W
YJL097W	YJL097W
YJL101C	YJL101C
YJL104W	YJL104W
YJL107C	YJL107C
YJL108C	YJL108C
YJL109C	YJL109C
YJL110C	YJL110C
YJL111W	YJL111W
YJL112W	YJL112W
YJL117W	YJL117W
YJL121C	YJL121C
YJL122W	YJL122W
YJL123C	YJL123C
YJL124C	YJL124C
YJL125C	YJL125C
YJL127C-B	YJL127C-B
YJL128C	YJL128C
YJL129C	YJL129C
YJL130C	YJL130C
YJL131C	YJL131C
YJL132W	YJL132W
YJL133C-A	YJL133C-A
YJL134W	YJL134W
YJL136C	YJL136C
YJL138C	YJL138C
YJL139C	YJL139C
YJL140W	YJL140W
YJL141C	YJL141C
YJL142C	YJL142C
YJL143W	YJL143W
YJL144W	YJL144W
YJL145W	YJL145W
YJL146W	YJL146W
YJL148W	YJL148W
YJL149W	YJL149W
YJL151C	YJL151C
YJL154C	YJL154C
YJL155C	YJL155C
YJL158C	YJL158C
YJL159W	YJL159W
YJL164C	YJL164C
YJL165C	YJL165C
YJL166W	YJL166W
YJL167W	YJL167W
YJL168C	YJL168C
YJL171C	YJL171C
YJL172W	YJL172W
YJL173C	YJL173C
YJL174W	YJL174W
YJL176C	YJL176C
YJL177W	YJL177W
YJL178C	YJL178C
YJL179W	YJL179W
YJL180C	YJL180C
YJL183W	YJL183W
YJL184W	YJL184W
YJL186W	YJL186W
YJL188C	YJL188C
YJL190C	YJL190C
YJL191W	YJL191W
YJL192C	YJL192C
YJL196C	YJL196C
YJL197W	YJL197W
YJL198W	YJL198W
YJL201W	YJL201W
YJL205C	YJL205C
YJL207C	YJL207C
YJL209W	YJL209W
YJL210W	YJL210W
YJL212C	YJL212C
YJL217W	YJL217W
YJR001W	YJR001W
YJR002W	YJR002W
YJR005W	YJR005W
YJR006W	YJR006W
YJR007W	YJR007W
YJR008W	YJR008W
YJR009C	YJR009C
YJR010C-A	YJR010C-A
YJR012C	YJR012C
YJR013W	YJR013W
YJR014W	YJR014W
YJR015W	YJR015W
YJR016C	YJR016C
YJR017C	YJR017C
YJR019C	YJR019C
YJR024C	YJR024C
YJR025C	YJR025C
YJR027W	YJR027W
YJR029W	YJR029W
YJR031C	YJR031C
YJR032W	YJR032W
YJR034W	YJR034W
YJR035W	YJR035W
YJR036C	YJR036C
YJR040W	YJR040W
YJR042W	YJR042W
YJR044C	YJR044C
YJR045C	YJR045C
YJR046W	YJR046W
YJR048W	YJR048W
YJR049C	YJR049C
YJR050W	YJR050W
YJR051W	YJR051W
YJR058C	YJR058C
YJR059W	YJR059W
YJR060W	YJR060W
YJR061W	YJR061W
YJR063W	YJR063W
YJR064W	YJR064W
YJR065C	YJR065C
YJR066W	YJR066W
YJR068W	YJR068W
YJR069C	YJR069C
YJR070C	YJR070C
YJR072C	YJR072C
YJR073C	YJR073C
YJR074W	YJR074W
YJR075W	YJR075W
YJR076C	YJR076C
YJR077C	YJR077C
YJR080C	YJR080C
YJR082C	YJR082C
YJR085C	YJR085C
YJR086W	YJR086W
YJR087W	YJR087W
YJR088C	YJR088C
YJR089W	YJR089W
YJR090C	YJR090C
YJR091C	YJR091C
YJR092W	YJR092W
YJR094W-A	YJR094W-A
YJR096W	YJR096W
YJR100C	YJR100C
YJR101W	YJR101W
YJR103W	YJR103W
YJR104C	YJR104C
YJR105W	YJR105W
YJR107W	YJR107W
YJR109C	YJR109C
YJR112W-A	YJR112W-A
YJR113C	YJR113C
YJR117W	YJR117W
YJR118C	YJR118C
YJR120W	YJR120W
YJR121W	YJR121W
YJR123W	YJR123W
YJR124C	YJR124C
YJR125C	YJR125C
YJR126C	YJR126C
YJR127C	YJR127C
YJR132W	YJR132W
YJR133W	YJR133W
YJR134C	YJR134C
YJR135W-A	YJR135W-A
YJR137C	YJR137C
YJR138W	YJR138W
YJR139C	YJR139C
YJR141W	YJR141W
YJR142W	YJR142W
YJR143C	YJR143C
YJR144W	YJR144W
YJR145C	YJR145C
YJR147W	YJR147W
YJR148W	YJR148W
YJR149W	YJR149W
YKL001C	YKL001C
YKL002W	YKL002W
YKL003C	YKL003C
YKL004W	YKL004W
YKL005C	YKL005C
YKL006C-A	YKL006C-A
YKL006W	YKL006W
YKL007W	YKL007W
YKL008C	YKL008C
YKL009W	YKL009W
YKL010C	YKL010C
YKL011C	YKL011C
YKL012W	YKL012W
YKL013C	YKL013C
YKL014C	YKL014C
YKL015W	YKL015W
YKL016C	YKL016C
YKL018C-A	YKL018C-A
YKL018W	YKL018W
YKL019W	YKL019W
YKL020C	YKL020C
YKL021C	YKL021C
YKL022C	YKL022C
YKL023C-A	YKL023C-A
YKL023W	YKL023W
YKL024C	YKL024C
YKL025C	YKL025C
YKL028W	YKL028W
YKL029C	YKL029C
YKL032C	YKL032C
YKL033W-A	YKL033W-A
YKL034W	YKL034W
YKL035W	YKL035W
YKL038W	YKL038W
YKL039W	YKL039W
YKL040C	YKL040C
YKL041W	YKL041W
YKL043W	YKL043W
YKL044W	YKL044W
YKL046C	YKL046C
YKL051W	YKL051W
YKL052C	YKL052C
YKL053C-A	YKL053C-A
YKL054C	YKL054C
YKL056C	YKL056C
YKL057C	YKL057C
YKL058W	YKL058W
YKL059C	YKL059C
YKL060C	YKL060C
YKL063C	YKL063C
YKL064W	YKL064W
YKL065C	YKL065C
YKL066W	YKL066W
YKL067W	YKL067W
YKL068W	YKL068W
YKL068W-A	YKL068W-A
YKL070W	YKL070W
YKL073W	YKL073W
YKL074C	YKL074C
YKL076C	YKL076C
YKL077W	YKL077W
YKL079W	YKL079W
YKL080W	YKL080W
YKL081W	YKL081W
YKL082C	YKL082C
YKL085W	YKL085W
YKL087C	YKL087C
YKL091C	YKL091C
YKL092C	YKL092C
YKL094W	YKL094W
YKL096W	YKL096W
YKL096W-A	YKL096W-A
YKL100C	YKL100C
YKL101W	YKL101W
YKL103C	YKL103C
YKL104C	YKL104C
YKL105C	YKL105C
YKL106W	YKL106W
YKL110C	YKL110C
YKL112W	YKL112W
YKL113C	YKL113C
YKL114C	YKL114C
YKL117W	YKL117W
YKL119C	YKL119C
YKL120W	YKL120W
YKL122C	YKL122C
YKL126W	YKL126W
YKL127W	YKL127W
YKL128C	YKL128C
YKL129C	YKL129C
YKL130C	YKL130C
YKL134C	YKL134C
YKL135C	YKL135C
YKL137W	YKL137W
YKL138C	YKL138C
YKL138C-A	YKL138C-A
YKL139W	YKL139W
YKL141W	YKL141W
YKL142W	YKL142W
YKL143W	YKL143W
YKL145W	YKL145W
YKL146W	YKL146W
YKL148C	YKL148C
YKL149C	YKL149C
YKL150W	YKL150W
YKL151C	YKL151C
YKL152C	YKL152C
YKL153W	YKL153W
YKL154W	YKL154W
YKL155C	YKL155C
YKL156W	YKL156W
YKL157W	YKL157W
YKL160W	YKL160W
YKL164C	YKL164C
YKL165C	YKL165C
YKL166C	YKL166C
YKL167C	YKL167C
YKL168C	YKL168C
YKL171W	YKL171W
YKL172W	YKL172W
YKL173W	YKL173W
YKL175W	YKL175W
YKL176C	YKL176C
YKL179C	YKL179C
YKL180W	YKL180W
YKL181W	YKL181W
YKL182W	YKL182W
YKL183C-A	YKL183C-A
YKL183W	YKL183W
YKL184W	YKL184W
YKL186C	YKL186C
YKL189W	YKL189W
YKL190W	YKL190W
YKL191W	YKL191W
YKL192C	YKL192C
YKL193C	YKL193C
YKL195W	YKL195W
YKL196C	YKL196C
YKL197C	YKL197C
YKL198C	YKL198C
YKL201C	YKL201C
YKL203C	YKL203C
YKL204W	YKL204W
YKL205W	YKL205W
YKL206C	YKL206C
YKL207W	YKL207W
YKL209C	YKL209C
YKL210W	YKL210W
YKL211C	YKL211C
YKL212W	YKL212W
YKL213C	YKL213C
YKL214C	YKL214C
YKL216W	YKL216W
YKR001C	YKR001C
YKR002W	YKR002W
YKR003W	YKR003W
YKR006C	YKR006C
YKR007W	YKR007W
YKR008W	YKR008W
YKR009C	YKR009C
YKR011C	YKR011C
YKR013W	YKR013W
YKR014C	YKR014C
YKR016W	YKR016W
YKR018C	YKR018C
YKR020W	YKR020W
YKR022C	YKR022C
YKR023W	YKR023W
YKR025W	YKR025W
YKR026C	YKR026C
YKR028W	YKR028W
YKR029C	YKR029C
YKR030W	YKR030W
YKR031C	YKR031C
YKR037C	YKR037C
YKR038C	YKR038C
YKR040C	YKR040C
YKR042W	YKR042W
YKR043C	YKR043C
YKR046C	YKR046C
YKR047W	YKR047W
YKR048C	YKR048C
YKR049C	YKR049C
YKR051W	YKR051W
YKR052C	YKR052C
YKR053C	YKR053C
YKR054C	YKR054C
YKR056W	YKR056W
YKR057W	YKR057W
YKR059W	YKR059W
YKR062W	YKR062W
YKR063C	YKR063C
YKR064W	YKR064W
YKR065C	YKR065C
YKR066C	YKR066C
YKR067W	YKR067W
YKR068C	YKR068C
YKR070W	YKR070W
YKR071C	YKR071C
YKR072C	YKR072C
YKR074W	YKR074W
YKR080W	YKR080W
YKR081C	YKR081C
YKR082W	YKR082W
YKR084C	YKR084C
YKR085C	YKR085C
YKR087C	YKR087C
YKR088C	YKR088C
YKR089C	YKR089C
YKR090W	YKR090W
YKR091W	YKR091W
YKR092C	YKR092C
YKR093W	YKR093W
YKR094C	YKR094C
YKR095W	YKR095W
YKR095W-A	YKR095W-A
YKR096W	YKR096W
