,Condition,Size_Factor,num_genes_expressed,Total_mRNAs,Cluster,peaks,halo,delta,rho,nearest_higher_density_neighbor,Pseudotime,State
BY4741_Unstressed_1784042189_BY64___Unstressed,Unstressed,1.01225323178137,2409,480918.59,1,FALSE,FALSE,0.349647804851897,1.83220376344297,NA,0.701768595821497,1
BY4741_Unstressed_1784042189_BY85___Unstressed,Unstressed,0.969596767090519,2515,460594.28,1,FALSE,FALSE,0.467956334440469,3.51620109843869,NA,0.804188863578405,1
BY4741_Unstressed_1784042189_BY83___Unstressed,Unstressed,0.987780074532265,1834,469255.14,1,FALSE,FALSE,0.858702619387905,1.59658552690503,NA,0.853652073766109,1
BY4741_Unstressed_1784042189_BY79___Unstressed,Unstressed,1.01681695145417,2044,483052.12,1,FALSE,FALSE,0.476419793295855,2.81606651902866,NA,0.867218580842313,1
BY4741_Unstressed_1784042189_BY35___Unstressed,Unstressed,0.980077745066029,1859,465565.71,1,FALSE,FALSE,0.696852812740855,2.71994181849548,NA,1.10393570290282,1
BY4741_Unstressed_1784042189_BY61___Unstressed,Unstressed,1.00645596057338,1915,478152.44,1,FALSE,FALSE,0.360637879837847,2.57222607053735,NA,1.1155175303218,1
BY4741_Unstressed_1784042189_BY24___Unstressed,Unstressed,0.981001856199037,2148,466016.82,1,TRUE,FALSE,31.8914232710934,5.18468735908488,NA,1.17763096341406,1
BY4741_Unstressed_1784042189_BY80___Unstressed,Unstressed,0.995503454365996,1440,472923.41,1,FALSE,FALSE,0.401493104321673,2.9377726005787,NA,1.78737071465069,1
BY4741_Unstressed_1784042189_BY14___Unstressed,Unstressed,1.03006394771846,2508,489319.67,1,FALSE,FALSE,0.850244813772267,3.52169146557748,NA,1.80551844998079,1
BY4741_Unstressed_1784042189_BY92___Unstressed,Unstressed,0.986352859616138,1703,468573.68,1,FALSE,FALSE,1.03091489284749,2.18523460901241,NA,2.06669248385151,1
BY4741_Unstressed_1784042189_BY28___Unstressed,Unstressed,1.02411300882777,2132,486546.37,1,FALSE,FALSE,0.513664886449974,2.30167771108755,NA,2.113917747755,1
BY4741_Unstressed_1784042189_BY53___Unstressed,Unstressed,1.00766635670432,2247,478696.45,1,FALSE,FALSE,0.537698530070743,4.7021711010275,NA,2.35952068806771,1
BY4741_Unstressed_1784042189_BY58___Unstressed,Unstressed,0.988361064675113,2318,469501.68,1,FALSE,FALSE,0.733377735913448,2.19331556255713,NA,2.45608141854699,1
BY4741_Unstressed_1784042189_BY18___Unstressed,Unstressed,0.973318472063546,2188,462362.91,1,FALSE,FALSE,0.774403049290815,3.03597724028899,NA,3.00233829776793,1
BY4741_Unstressed_1784042189_BY29___Unstressed,Unstressed,0.983458434085645,1710,467199.97,1,FALSE,FALSE,1.04492510962533,1.83015892845623,NA,3.12654953463673,1
BY4741_Unstressed_1784042189_BY90___Unstressed,Unstressed,0.944355271427867,2010,448629.55,1,FALSE,FALSE,1.25452466595362,2.37075783010788,NA,3.4105431674718,1
BY4741_Unstressed_1784042189_BY73___Unstressed,Unstressed,1.02976292746329,2043,489174.81,1,FALSE,FALSE,1.20525769223002,1.41431951399842,NA,3.49192079354208,1
BY4741_Unstressed_1784042189_BY11___Unstressed,Unstressed,1.01993872095361,1534,484548.31,1,FALSE,FALSE,0.952430832936122,2.56414891500234,NA,3.97013569639644,1
BY4741_Unstressed_1784042189_BY49___Unstressed,Unstressed,0.92346067665283,1523,438685.79,1,FALSE,FALSE,4.61642977687883,4.19136838288834,NA,4.22330758237882,1
BY4741_Unstressed_1784042189_BY1___Unstressed,Unstressed,0.889333820870752,1608,422477.29,1,FALSE,FALSE,2.71879752699592,3.0549195050173,NA,4.23820230873362,1
BY4741_Unstressed_1784042189_BY25___Unstressed,Unstressed,1.01275633556449,1812,481105.69,1,FALSE,FALSE,0.200334329686487,3.32092436632812,NA,4.79970795807791,1
BY4741_Unstressed_1784042189_BY4___Unstressed,Unstressed,1.02379725331535,1821,486347.18,1,FALSE,FALSE,1.04995692069529,3.56479048176007,NA,4.90048275794641,1
BY4741_Unstressed_1784042189_BY75___Unstressed,Unstressed,1.02048813554521,1833,484793.67,1,FALSE,FALSE,0.901092418975024,1.16317083370889,NA,4.90118914185284,1
