,Pseudotime
BY4741_Stressed_1784042160_C50_BY1___Stressed,26.6779244581992
BY4741_Stressed_1784042160_C50_BY5___Stressed,26.897718736028
BY4741_Stressed_1784042160_C50_BY19___Stressed,26.9146471635989
BY4741_Stressed_1784042160_C50_BY54___Stressed,26.9178090723345
BY4741_Stressed_1784042160_C50_BY78___Stressed,26.9550123344985
BY4741_Stressed_1784042160_C50_BY30___Stressed,26.9742339223566
BY4741_Stressed_1784042160_C50_BY52___Stressed,26.9786099909142
BY4741_Stressed_1784042160_C50_BY13___Stressed,26.9859034528145
BY4741_Stressed_1784042160_C50_BY34___Stressed,26.9914692420543
BY4741_Stressed_1784042160_C50_BY89___Stressed,26.9987019491241
BY4741_Stressed_1784042160_C50_BY8___Stressed,27.0045344550367
BY4741_Stressed_1784042160_C50_BY86___Stressed,27.0050865174719
BY4741_Stressed_1784042160_C50_BY14___Stressed,27.0155314424961
BY4741_Stressed_1784042160_C50_BY71___Stressed,27.015678497767
BY4741_Stressed_1784042160_C50_BY53___Stressed,27.0414944021189
BY4741_Stressed_1784042160_C50_BY64___Stressed,27.053145362074
BY4741_Stressed_1784042160_C50_BY70___Stressed,27.063925794488
BY4741_Stressed_1784042160_C50_BY50___Stressed,27.0921595228548
BY4741_Stressed_1784042160_C50_BY72___Stressed,27.1099217200545
BY4741_Stressed_1784042160_C50_BY57___Stressed,27.1212571572419
BY4741_Stressed_1784042160_C50_BY22___Stressed,27.1748985023892
BY4741_Stressed_1784042160_C50_BY25___Stressed,27.1972232403725
BY4741_Stressed_1784042160_C50_BY49___Stressed,27.2798142525901
BY4741_Stressed_1784042160_C50_BY51___Stressed,27.280485646669
BY4741_Stressed_1784042160_C50_BY75___Stressed,27.3080267139724
BY4741_Stressed_1784042160_C50_BY82___Stressed,27.339514398458
BY4741_Stressed_1784042160_C50_BY62___Stressed,27.34182834959
BY4741_Stressed_1784042160_C50_BY11___Stressed,27.3476060421413
BY4741_Stressed_1784042160_C50_BY38___Stressed,27.3895453870271
BY4741_Stressed_1784042160_C50_BY9___Stressed,27.4604381054269
BY4741_Stressed_1784042160_C50_BY29___Stressed,27.5838505689052
BY4741_Stressed_1784042160_C50_BY7___Stressed,27.9686451048329
BY4741_Stressed_1784042160_C50_BY42___Stressed,28.1175724669666
BY4741_Stressed_1784042160_C50_BY44___Stressed,28.1279932784368
BY4741_Stressed_1784042160_C50_BY63___Stressed,28.2503821583587
BY4741_Stressed_1784042160_C50_BY23___Stressed,28.4533415111087
BY4741_Stressed_1784042160_C50_BY39___Stressed,28.5337563412133
BY4741_Stressed_1784042160_C50_BY69___Stressed,28.5635019151418
BY4741_Stressed_1784042160_C50_BY27___Stressed,28.8157827130724
BY4741_Stressed_1784042160_C50_BY36___Stressed,28.8666508811767
BY4741_Stressed_1784042160_C50_BY35___Stressed,28.8720503118456
BY4741_Stressed_1784042160_C50_BY66___Stressed,28.9220521430862
BY4741_Stressed_1784042160_C50_BY56___Stressed,28.9245576760801
BY4741_Stressed_1784042160_C50_BY85___Stressed,28.956444788141
BY4741_Stressed_1784042160_C50_BY31___Stressed,28.9591394878988
BY4741_Stressed_1784042160_C50_BY17___Stressed,28.9611953673572
BY4741_Stressed_1784042160_C50_BY6___Stressed,29.0342408118983
BY4741_Stressed_1784042160_C50_BY32___Stressed,29.05245391735
BY4741_Stressed_1784042160_C50_BY59___Stressed,29.1019009478553
BY4741_Stressed_1784042160_C50_BY58___Stressed,29.1108061754848
BY4741_Stressed_1784042160_C50_BY4___Stressed,29.1360601986717
BY4741_Stressed_1784042160_C50_BY16___Stressed,29.1503556234377
BY4741_Stressed_1784042160_C50_BY61___Stressed,29.1679074799425
BY4741_Stressed_1784042160_C50_BY37___Stressed,29.1778905393357
BY4741_Stressed_1784042160_C50_BY84___Stressed,29.2161672714861
BY4741_Stressed_1784042160_C50_BY33___Stressed,29.2942626297847
BY4741_Stressed_1784042160_C50_BY76___Stressed,29.4720688165004
BY4741_Stressed_1784042160_C50_BY21___Stressed,29.5520785744718
BY4741_Stressed_1784042160_C50_BY65___Stressed,29.5943068022438
BY4741_Stressed_1784042160_C50_BY12___Stressed,29.6165570767107
BY4741_Stressed_1784042160_C50_BY26___Stressed,29.6483621643333
BY4741_Stressed_1784042160_C50_BY83___Stressed,29.6493468449838
BY4741_Stressed_1784042160_C50_BY40___Stressed,29.6744626434159
BY4741_Stressed_1784042160_C50_BY60___Stressed,29.7188617145469
BY4741_Stressed_1784042160_C50_BY24___Stressed,29.7627216892046
BY4741_Stressed_1784042160_C50_BY15___Stressed,29.8464612377642
BY4741_Stressed_1784042160_C50_BY81___Stressed,29.9110096737746
BY4741_Stressed_1784042160_C50_BY20___Stressed,30.0436231172414
BY4741_Stressed_1784042160_C50_BY67___Stressed,30.2457571098414
BY4741_Stressed_1784042160_C50_BY28___Stressed,30.3242082437801
